day,open,high,low,close,volume
2023-08-02 11:07:00,3976.854,3976.854,3975.865,3976.168,31901100
2023-08-02 11:08:00,3976.085,3976.085,3974.636,3975.210,33784000
2023-08-02 11:09:00,3975.157,3975.320,3973.731,3973.731,48205800
2023-08-02 11:10:00,3973.804,3974.576,3973.330,3974.576,41864400
2023-08-02 11:11:00,3974.550,3975.369,3974.341,3975.369,37986900
2023-08-02 11:12:00,3975.325,3975.325,3973.972,3974.168,44185000
2023-08-02 11:13:00,3974.120,3974.120,3970.584,3970.584,66914700
2023-08-02 11:14:00,3970.907,3971.023,3970.393,3970.393,49203600
2023-08-02 11:15:00,3970.380,3971.259,3970.296,3971.259,40353800
2023-08-02 11:16:00,3971.268,3974.794,3971.268,3974.794,57898800
2023-08-02 11:17:00,3975.080,3975.571,3974.473,3974.473,65048900
2023-08-02 11:18:00,3974.469,3974.663,3974.173,3974.347,28895600
2023-08-02 11:19:00,3974.045,3974.171,3973.318,3973.561,28252600
2023-08-02 11:20:00,3973.564,3974.245,3973.420,3974.245,27549800
2023-08-02 11:21:00,3974.101,3974.526,3973.868,3974.526,28924000
2023-08-02 11:22:00,3974.358,3974.684,3973.953,3974.205,25607500
2023-08-02 11:23:00,3974.141,3974.141,3972.757,3973.219,33694400
2023-08-02 11:24:00,3973.142,3973.174,3971.296,3971.329,38574600
2023-08-02 11:25:00,3971.403,3971.403,3970.176,3970.540,34121700
2023-08-02 11:26:00,3970.698,3970.880,3970.005,3970.051,35485100
2023-08-02 11:27:00,3969.773,3970.097,3968.521,3968.521,41124300
2023-08-02 11:28:00,3968.737,3969.077,3968.106,3968.924,33527400
2023-08-02 11:29:00,3968.885,3969.649,3968.860,3969.349,29020800
2023-08-02 11:30:00,3969.261,3969.939,3969.261,3969.939,27394200
2023-08-02 13:01:00,3969.610,3969.610,3966.249,3966.249,106040600
2023-08-02 13:02:00,3966.374,3966.661,3965.459,3965.672,35452300
2023-08-02 13:03:00,3965.548,3965.717,3964.843,3964.899,32638500
2023-08-02 13:04:00,3964.903,3965.102,3964.616,3964.809,31987200
2023-08-02 13:05:00,3964.835,3965.222,3964.763,3965.125,31147700
2023-08-02 13:06:00,3965.191,3965.471,3963.744,3963.744,31454000
2023-08-02 13:07:00,3963.693,3963.711,3962.959,3963.167,34677300
2023-08-02 13:08:00,3963.101,3963.101,3961.632,3961.632,40297400
2023-08-02 13:09:00,3962.007,3962.601,3961.707,3961.707,34874900
2023-08-02 13:10:00,3961.629,3962.731,3961.626,3962.659,32469300
2023-08-02 13:11:00,3962.583,3965.530,3962.524,3965.530,49133200
2023-08-02 13:12:00,3965.564,3966.494,3965.564,3966.287,37098300
2023-08-02 13:13:00,3966.498,3967.445,3966.189,3967.420,26850000
2023-08-02 13:14:00,3967.616,3970.048,3967.584,3970.048,41207700
